Project Path: arc_gmh5225_Shoggoth_7jwgcdjf

Source Tree:

```txt
arc_gmh5225_Shoggoth_7jwgcdjf
├── COFFLoader
│   ├── APISolver.c
│   ├── APISolver.h
│   ├── BeaconFunctions.c
│   ├── BeaconFunctions.h
│   ├── COFFLoader.c
│   ├── Makefile
│   ├── Structs.h
│   ├── alignStack.asm
│   └── linker.ld
├── PELoader
│   ├── APISolver.c
│   ├── APISolver.h
│   ├── Makefile
│   ├── PELoader.c
│   ├── alignStack.asm
│   └── linker.ld
├── README.md
├── img
│   ├── ShoggothExecutionFlow.png
│   ├── logo.png
│   └── shoggoth.jpg
├── src
│   ├── AuxFunctions.cpp
│   ├── AuxFunctions.h
│   ├── FirstEncryption.cpp
│   ├── FirstEncryption.h
│   ├── OptionsHelper.cpp
│   ├── OptionsHelper.h
│   ├── SecondEncryption.cpp
│   ├── SecondEncryption.h
│   ├── Shoggoth.sln
│   ├── Shoggoth.vcxproj
│   ├── Shoggoth.vcxproj.filters
│   ├── Shoggoth.vcxproj.user
│   ├── ShoggothEngine.cpp
│   ├── ShoggothEngine.h
│   ├── Structs.h
│   ├── asmjit
│   │   ├── asmjit-scope-begin.h
│   │   ├── asmjit-scope-end.h
│   │   ├── asmjit.h
│   │   ├── core
│   │   │   ├── api-build_p.h
│   │   │   ├── api-config.h
│   │   │   ├── archcommons.h
│   │   │   ├── archtraits.cpp
│   │   │   ├── archtraits.h
│   │   │   ├── assembler.cpp
│   │   │   ├── assembler.h
│   │   │   ├── builder.cpp
│   │   │   ├── builder.h
│   │   │   ├── codebuffer.h
│   │   │   ├── codeholder.cpp
│   │   │   ├── codeholder.h
│   │   │   ├── codewriter.cpp
│   │   │   ├── codewriter_p.h
│   │   │   ├── compiler.cpp
│   │   │   ├── compiler.h
│   │   │   ├── compilerdefs.h
│   │   │   ├── constpool.cpp
│   │   │   ├── constpool.h
│   │   │   ├── cpuinfo.cpp
│   │   │   ├── cpuinfo.h
│   │   │   ├── datatypes.h
│   │   │   ├── emithelper.cpp
│   │   │   ├── emithelper_p.h
│   │   │   ├── emitter.cpp
│   │   │   ├── emitter.h
│   │   │   ├── emitterutils.cpp
│   │   │   ├── emitterutils_p.h
│   │   │   ├── environment.cpp
│   │   │   ├── environment.h
│   │   │   ├── errorhandler.cpp
│   │   │   ├── errorhandler.h
│   │   │   ├── features.h
│   │   │   ├── formatter.cpp
│   │   │   ├── formatter.h
│   │   │   ├── func.cpp
│   │   │   ├── func.h
│   │   │   ├── funcargscontext.cpp
│   │   │   ├── funcargscontext_p.h
│   │   │   ├── globals.cpp
│   │   │   ├── globals.h
│   │   │   ├── inst.cpp
│   │   │   ├── inst.h
│   │   │   ├── jitallocator.cpp
│   │   │   ├── jitallocator.h
│   │   │   ├── jitruntime.cpp
│   │   │   ├── jitruntime.h
│   │   │   ├── logger.cpp
│   │   │   ├── logger.h
│   │   │   ├── misc_p.h
│   │   │   ├── operand.cpp
│   │   │   ├── operand.h
│   │   │   ├── osutils.cpp
│   │   │   ├── osutils.h
│   │   │   ├── osutils_p.h
│   │   │   ├── raassignment_p.h
│   │   │   ├── rabuilders_p.h
│   │   │   ├── radefs_p.h
│   │   │   ├── ralocal.cpp
│   │   │   ├── ralocal_p.h
│   │   │   ├── rapass.cpp
│   │   │   ├── rapass_p.h
│   │   │   ├── rastack.cpp
│   │   │   ├── rastack_p.h
│   │   │   ├── string.cpp
│   │   │   ├── string.h
│   │   │   ├── support.cpp
│   │   │   ├── support.h
│   │   │   ├── target.cpp
│   │   │   ├── target.h
│   │   │   ├── type.cpp
│   │   │   ├── type.h
│   │   │   ├── virtmem.cpp
│   │   │   ├── virtmem.h
│   │   │   ├── zone.cpp
│   │   │   ├── zone.h
│   │   │   ├── zonehash.cpp
│   │   │   ├── zonehash.h
│   │   │   ├── zonelist.cpp
│   │   │   ├── zonelist.h
│   │   │   ├── zonestack.cpp
│   │   │   ├── zonestack.h
│   │   │   ├── zonestring.h
│   │   │   ├── zonetree.cpp
│   │   │   ├── zonetree.h
│   │   │   ├── zonevector.cpp
│   │   │   └── zonevector.h
│   │   ├── core.h
│   │   ├── x86
│   │   │   ├── x86archtraits_p.h
│   │   │   ├── x86assembler.cpp
│   │   │   ├── x86assembler.h
│   │   │   ├── x86builder.cpp
│   │   │   ├── x86builder.h
│   │   │   ├── x86compiler.cpp
│   │   │   ├── x86compiler.h
│   │   │   ├── x86emithelper.cpp
│   │   │   ├── x86emithelper_p.h
│   │   │   ├── x86emitter.h
│   │   │   ├── x86features.cpp
│   │   │   ├── x86features.h
│   │   │   ├── x86formatter.cpp
│   │   │   ├── x86formatter_p.h
│   │   │   ├── x86func.cpp
│   │   │   ├── x86func_p.h
│   │   │   ├── x86globals.h
│   │   │   ├── x86instapi.cpp
│   │   │   ├── x86instapi_p.h
│   │   │   ├── x86instdb.cpp
│   │   │   ├── x86instdb.h
│   │   │   ├── x86instdb_p.h
│   │   │   ├── x86opcode_p.h
│   │   │   ├── x86operand.cpp
│   │   │   ├── x86operand.h
│   │   │   ├── x86rapass.cpp
│   │   │   └── x86rapass_p.h
│   │   └── x86.h
│   └── main.cpp
└── stub
    ├── COFFLoader.bin
    └── PELoader.bin

```

`COFFLoader/APISolver.c`:

```c
#include "APISolver.h"

unsigned long UnicodeDjb2(const wchar_t* str);
unsigned long XorHash(unsigned long hash);
unsigned long djb2(unsigned char* str);

// custom strcmp function since this function will be called by GetSymbolAddress
// which means we have to call strcmp before loading msvcrt.dll
// so we are writing our own my_strcmp so that we don't have to play with egg or chicken dilemma
int MyStrCmp(const char* p1, const char* p2) {
    const unsigned char* s1 = (const unsigned char*)p1;
    const unsigned char* s2 = (const unsigned char*)p2;
    unsigned char c1, c2;
    do {
        c1 = (unsigned char)*s1++;
        c2 = (unsigned char)*s2++;
        if (c1 == '\0') {
            return c1 - c2;
        }
    } while (c1 == c2);
    return c1 - c2;
}

UINT64 FollowExport(char* ptr_forward, LPCSTR lpProcName) {
    UINT64 kernel32DLL = GetLoadedLibrary(CRYPTED_HASH_KERNEL32);
    CHAR loadLibraryAString[] = { 'L', 'o', 'a', 'd', 'L', 'i', 'b', 'r', 'a', 'r', 'y', 'A', 0 };
    LOADLIBRARYA loadLibraryAFunc = (LOADLIBRARYA)GetSymbolAddress(kernel32DLL, loadLibraryAString);
